ID,Label
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,0
1016,0
1017,0
1018,0
1019,1
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,1
1032,0
1033,0
1034,0
1035,1
1036,0
1037,0
1038,0
1039,1
1040,1
1041,1
1042,0
1043,1
1044,1
1045,0
1046,0
1047,1
1048,1
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,1
1061,0
1062,1
1063,0
1064,1
1065,0
1066,0
1067,0
1068,1
1069,0
1070,0
1071,1
1072,0
1073,0
1074,0
1075,0
1076,0
1077,1
1078,1
1079,0
1080,1
1081,0
1082,1
1083,1
1084,0
1085,1
1086,0
1087,0
1088,1
1089,0
1090,1
1091,0
1092,0
1093,1
1094,1
1095,1
1096,1
1097,0
1098,1
1099,1
1100,0
1101,1
1102,0
1103,1
1104,0
1105,0
1106,0
1107,0
1108,0
1109,1
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,1
1117,1
1118,0
1119,0
1120,0
1121,0
1122,1
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,1
1130,0
1131,0
1132,1
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,1
1143,1
1144,1
1145,0
1146,1
1147,0
1148,0
1149,0
1150,0
1151,1
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,1
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,1
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,1
1178,0
1179,0
1180,1
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,1
1189,0
1190,1
1191,0
1192,0
1193,1
1194,1
1195,0
1196,0
1197,0
1198,0
1199,1
1200,0
1201,1
1202,0
1203,1
1204,0
1205,1
1206,0
1207,1
1208,1
1209,1
1210,1
1211,0
1212,0
1213,1
1214,0
1215,0
1216,0
1217,1
1218,1
1219,0
1220,1
1221,1
1222,0
1223,1
1224,0
1225,0
1226,0
1227,1
1228,0
1229,1
1230,0
1231,0
1232,0
1233,0
1234,1
1235,0
1236,0
1237,0
1238,1
1239,0
1240,0
1241,0
1242,0
1243,1
1244,0
1245,1
1246,0
1247,0
1248,0
1249,0
1250,0
1251,1
1252,1
1253,1
1254,1
1255,0
1256,0
1257,1
1258,1
1259,0
1260,0
1261,1
1262,1
1263,1
1264,0
1265,1
1266,1
1267,0
1268,1
1269,0
1270,0
1271,1
1272,1
1273,0
1274,0
1275,0
1276,0
1277,1
1278,0
1279,1
1280,0
1281,0
1282,0
1283,1
1284,0
1285,0
1286,0
1287,1
1288,1
1289,0
1290,0
1291,1
1292,0
1293,1
1294,1
1295,0
1296,0
1297,0
1298,0
1299,1
1300,0
1301,0
1302,0
1303,0
1304,0
1305,1
1306,0
1307,1
1308,1
1309,0
1310,0
1311,1
1312,0
1313,0
1314,0
1315,0
1316,1
1317,1
1318,0
1319,1
1320,0
1321,0
1322,0
1323,0
1324,1
1325,0
1326,1
1327,0
1328,1
1329,0
1330,0
1331,0
1332,1
1333,0
1334,1
1335,1
1336,1
1337,1
1338,1
1339,0
1340,1
1341,1
1342,0
1343,1
1344,0
1345,1
1346,0
1347,1
1348,0
1349,1
1350,0
1351,0
1352,0
1353,1
1354,0
1355,1
1356,1
1357,1
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,1
1372,1
1373,0
1374,0
1375,1
1376,0
1377,1
1378,0
1379,1
1380,1
1381,1
1382,1
1383,1
1384,0
1385,1
1386,0
1387,1
1388,0
1389,0
1390,1
1391,0
1392,0
1393,0
1394,1
1395,0
1396,0
1397,0
1398,0
1399,1
1400,0
1401,0
1402,1
1403,0
1404,0
1405,0
1406,1
1407,0
1408,0
1409,0
1410,0
1411,1
1412,1
1413,1
1414,0
1415,1
1416,0
1417,1
1418,0
1419,0
1420,0
1421,1
1422,0
1423,0
1424,0
1425,1
1426,0
1427,1
1428,0
1429,0
1430,0
1431,0
1432,1
1433,1
1434,1
1435,1
1436,1
1437,0
1438,0
1439,0
1440,1
1441,1
1442,1
1443,1
1444,0
1445,0
1446,0
1447,0
1448,1
1449,0
1450,1
1451,0
1452,1
1453,0
1454,1
1455,1
1456,0
1457,0
1458,0
1459,1
1460,0
1461,1
1462,0
1463,1
1464,0
1465,1
1466,0
1467,1
1468,1
1469,0
1470,0
1471,1
1472,0
1473,0
1474,1
1475,0
1476,0
1477,1
1478,1
1479,0
1480,0
1481,0
1482,1
1483,0
1484,0
1485,1
1486,0
1487,1
1488,0
1489,1
1490,1
1491,1
1492,0
1493,0
1494,1
1495,0
1496,0
1497,0
1498,0
1499,0
1500,1
1501,1
1502,1
1503,0
1504,0
1505,0
1506,0
1507,1
1508,0
1509,0
1510,0
1511,0
1512,0
1513,1
1514,1
1515,0
1516,1
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,1
1524,1
1525,0
1526,0
1527,1
1528,0
